Player Name,Team,Price,pid,role,isoversea,isCap,isbatsman,isbowler,iswicketkeeper,base,runs_per_match,matches_bat,strike_rate_bat,average_bat,wickets_per_match,matches_bowl,economy_rate,strike_rate_bowl,average_bowl,bat_powerplay,bat_death,bowl_powerplay,bowl_death,fair,supply,bid team,no overseas,demand_team,demand_other,purse bid,max purse,avg purse,output
Trent Boult,Rajastan Royals,8.0,101,bo,1,1,0,1,0,2.0,1.1428571428571428,7,100.0,2.6666666666666665,1.3653846153846154,52,8.61986301369863,23.633802816901408,16.450704225352112,0.0,47.41433333333334,13.966355436524342,13.347850295541509,7.965,5,Delhi Capitals,1.0,6.0,58.0,47.5,68.0,52.13125,0
Trent Boult,Rajastan Royals,8.0,101,bo,1,1,0,1,0,2.0,1.1428571428571428,7,100.0,2.6666666666666665,1.3653846153846154,52,8.61986301369863,23.633802816901408,16.450704225352112,0.0,47.41433333333334,13.966355436524342,13.347850295541509,7.965,5,Gujrat Titans,1.0,7.0,57.0,52.0,68.0,51.56875,0
Trent Boult,Rajastan Royals,8.0,101,bo,1,1,0,1,0,2.0,1.1428571428571428,7,100.0,2.6666666666666665,1.3653846153846154,52,8.61986301369863,23.633802816901408,16.450704225352112,0.0,47.41433333333334,13.966355436524342,13.347850295541509,7.965,5,Kolkata Knight Riders,3.0,2.0,62.0,40.75,68.0,52.975,0
Trent Boult,Rajastan Royals,8.0,101,bo,1,1,0,1,0,2.0,1.1428571428571428,7,100.0,2.6666666666666665,1.3653846153846154,52,8.61986301369863,23.633802816901408,16.450704225352112,0.0,47.41433333333334,13.966355436524342,13.347850295541509,7.965,5,Lucknow Super Giants,1.0,7.0,57.0,59.8,68.0,50.59375,0
Trent Boult,Rajastan Royals,8.0,101,bo,1,1,0,1,0,2.0,1.1428571428571428,7,100.0,2.6666666666666665,1.3653846153846154,52,8.61986301369863,23.633802816901408,16.450704225352112,0.0,47.41433333333334,13.966355436524342,13.347850295541509,7.965,5,Mumbai Indians,1.0,7.0,57.0,48.0,68.0,52.06875,0
Trent Boult,Rajastan Royals,8.0,101,bo,1,1,0,1,0,2.0,1.1428571428571428,7,100.0,2.6666666666666665,1.3653846153846154,52,8.61986301369863,23.633802816901408,16.450704225352112,0.0,47.41433333333334,13.966355436524342,13.347850295541509,7.965,5,Punjab Kings,1.0,6.0,58.0,54.5,68.0,51.25625,0
Trent Boult,Rajastan Royals,8.0,101,bo,1,1,0,1,0,2.0,1.1428571428571428,7,100.0,2.6666666666666665,1.3653846153846154,52,8.61986301369863,23.633802816901408,16.450704225352112,0.0,47.41433333333334,13.966355436524342,13.347850295541509,7.965,5,Rajastan Royals,1.0,9.0,55.0,57.0,68.0,50.94375,1
Trent Boult,Rajastan Royals,8.0,101,bo,1,1,0,1,0,2.0,1.1428571428571428,7,100.0,2.6666666666666665,1.3653846153846154,52,8.61986301369863,23.633802816901408,16.450704225352112,0.0,47.41433333333334,13.966355436524342,13.347850295541509,7.965,5,Royal Challengers Banglore,1.0,6.0,58.0,57.0,68.0,50.94375,0
Trent Boult,Rajastan Royals,8.0,101,bo,1,1,0,1,0,2.0,1.1428571428571428,7,100.0,2.6666666666666665,1.3653846153846154,52,8.61986301369863,23.633802816901408,16.450704225352112,0.0,47.41433333333334,13.966355436524342,13.347850295541509,7.965,5,Sunrisers Hyderabad,1.0,8.0,56.0,68.0,59.8,50.59375,0
Shreyas Iyer,Kolkata Knight Riders,12.25,142,ba,0,1,1,0,0,2.0,27.477272727272727,88,126.92913385826772,33.583333333333336,0.3333333333333333,3,10.53658536585366,72.0,41.0,307.3141044776119,241.3163738317757,0.0,0.0,9.500000000000004,0,Chennai Super Kings,1.0,4.0,28.0,48.0,68.0,51.06875,0
Shreyas Iyer,Kolkata Knight Riders,12.25,142,ba,0,1,1,0,0,2.0,27.477272727272727,88,126.92913385826772,33.583333333333336,0.3333333333333333,3,10.53658536585366,72.0,41.0,307.3141044776119,241.3163738317757,0.0,0.0,9.500000000000004,0,Delhi Capitals,1.0,4.0,28.0,47.5,68.0,51.13125,0
Shreyas Iyer,Kolkata Knight Riders,12.25,142,ba,0,1,1,0,0,2.0,27.477272727272727,88,126.92913385826772,33.583333333333336,0.3333333333333333,3,10.53658536585366,72.0,41.0,307.3141044776119,241.3163738317757,0.0,0.0,9.500000000000004,0,Gujrat Titans,1.0,2.0,30.0,52.0,68.0,50.56875,0
Shreyas Iyer,Kolkata Knight Riders,12.25,142,ba,0,1,1,0,0,2.0,27.477272727272727,88,126.92913385826772,33.583333333333336,0.3333333333333333,3,10.53658536585366,72.0,41.0,307.3141044776119,241.3163738317757,0.0,0.0,9.500000000000004,0,Kolkata Knight Riders,3.0,6.0,26.0,40.75,68.0,51.975,1
Shreyas Iyer,Kolkata Knight Riders,12.25,142,ba,0,1,1,0,0,2.0,27.477272727272727,88,126.92913385826772,33.583333333333336,0.3333333333333333,3,10.53658536585366,72.0,41.0,307.3141044776119,241.3163738317757,0.0,0.0,9.500000000000004,0,Lucknow Super Giants,1.0,3.0,29.0,59.8,68.0,49.59375,0
Shreyas Iyer,Kolkata Knight Riders,12.25,142,ba,0,1,1,0,0,2.0,27.477272727272727,88,126.92913385826772,33.583333333333336,0.3333333333333333,3,10.53658536585366,72.0,41.0,307.3141044776119,241.3163738317757,0.0,0.0,9.500000000000004,0,Mumbai Indians,1.0,2.0,30.0,48.0,68.0,51.06875,0
Shreyas Iyer,Kolkata Knight Riders,12.25,142,ba,0,1,1,0,0,2.0,27.477272727272727,88,126.92913385826772,33.583333333333336,0.3333333333333333,3,10.53658536585366,72.0,41.0,307.3141044776119,241.3163738317757,0.0,0.0,9.500000000000004,0,Punjab Kings,1.0,1.0,31.0,54.5,68.0,50.25625,0
Shreyas Iyer,Kolkata Knight Riders,12.25,142,ba,0,1,1,0,0,2.0,27.477272727272727,88,126.92913385826772,33.583333333333336,0.3333333333333333,3,10.53658536585366,72.0,41.0,307.3141044776119,241.3163738317757,0.0,0.0,9.500000000000004,0,Rajastan Royals,2.0,4.0,28.0,49.0,68.0,50.94375,0
Shreyas Iyer,Kolkata Knight Riders,12.25,142,ba,0,1,1,0,0,2.0,27.477272727272727,88,126.92913385826772,33.583333333333336,0.3333333333333333,3,10.53658536585366,72.0,41.0,307.3141044776119,241.3163738317757,0.0,0.0,9.500000000000004,0,Royal Challengers Banglore,1.0,2.0,30.0,57.0,68.0,49.94375,0
Shreyas Iyer,Kolkata Knight Riders,12.25,142,ba,0,1,1,0,0,2.0,27.477272727272727,88,126.92913385826772,33.583333333333336,0.3333333333333333,3,10.53658536585366,72.0,41.0,307.3141044776119,241.3163738317757,0.0,0.0,9.500000000000004,0,Sunrisers Hyderabad,1.0,4.0,28.0,68.0,59.8,49.59375,0
Mohammed Shami,Gujrat Titans,6.25,160,bo,0,1,0,1,0,2.0,1.6666666666666667,6,90.9090909090909,3.333333333333333,1.2432432432432432,37,8.840989399293287,27.195652173913043,18.456521739130437,0.0,25.749,16.7311072056239,10.81983915927077,7.975,4,Chennai Super Kings,1.0,6.0,57.0,48.0,68.0,49.5375,0
Mohammed Shami,Gujrat Titans,6.25,160,bo,0,1,0,1,0,2.0,1.6666666666666667,6,90.9090909090909,3.333333333333333,1.2432432432432432,37,8.840989399293287,27.195652173913043,18.456521739130437,0.0,25.749,16.7311072056239,10.81983915927077,7.975,4,Delhi Capitals,1.0,6.0,57.0,47.5,68.0,49.6,0
Mohammed Shami,Gujrat Titans,6.25,160,bo,0,1,0,1,0,2.0,1.6666666666666667,6,90.9090909090909,3.333333333333333,1.2432432432432432,37,8.840989399293287,27.195652173913043,18.456521739130437,0.0,25.749,16.7311072056239,10.81983915927077,7.975,4,Gujrat Titans,1.0,7.0,56.0,52.0,68.0,49.0375,1
Mohammed Shami,Gujrat Titans,6.25,160,bo,0,1,0,1,0,2.0,1.6666666666666667,6,90.9090909090909,3.333333333333333,1.2432432432432432,37,8.840989399293287,27.195652173913043,18.456521739130437,0.0,25.749,16.7311072056239,10.81983915927077,7.975,4,Kolkata Knight Riders,3.0,2.0,61.0,28.5,68.0,51.975,0
Mohammed Shami,Gujrat Titans,6.25,160,bo,0,1,0,1,0,2.0,1.6666666666666667,6,90.9090909090909,3.333333333333333,1.2432432432432432,37,8.840989399293287,27.195652173913043,18.456521739130437,0.0,25.749,16.7311072056239,10.81983915927077,7.975,4,Lucknow Super Giants,1.0,7.0,56.0,59.8,68.0,48.0625,0
Mohammed Shami,Gujrat Titans,6.25,160,bo,0,1,0,1,0,2.0,1.6666666666666667,6,90.9090909090909,3.333333333333333,1.2432432432432432,37,8.840989399293287,27.195652173913043,18.456521739130437,0.0,25.749,16.7311072056239,10.81983915927077,7.975,4,Mumbai Indians,1.0,7.0,56.0,48.0,68.0,49.5375,0
Mohammed Shami,Gujrat Titans,6.25,160,bo,0,1,0,1,0,2.0,1.6666666666666667,6,90.9090909090909,3.333333333333333,1.2432432432432432,37,8.840989399293287,27.195652173913043,18.456521739130437,0.0,25.749,16.7311072056239,10.81983915927077,7.975,4,Punjab Kings,1.0,6.0,57.0,54.5,68.0,48.725,0
