Player Name,Team,Price,pid,role,isoversea,isCap,isbatsman,isbowler,iswicketkeeper,base,Chennai Super Kings purse,Delhi Capitals purse,Gujrat Titans purse,Kolkata Knight Riders purse,Lucknow Super Giants purse,Mumbai Indians purse,Punjab Kings purse,Rajastan Royals purse,Royal Challengers Banglore purse,Sunrisers Hyderabad purse,Chennai Super Kings ba,Delhi Capitals ba,Gujrat Titans ba,Kolkata Knight Riders ba,Lucknow Super Giants ba,Mumbai Indians ba,Punjab Kings ba,Rajastan Royals ba,Royal Challengers Banglore ba,Sunrisers Hyderabad ba,Chennai Super Kings bo,Delhi Capitals bo,Gujrat Titans bo,Kolkata Knight Riders bo,Lucknow Super Giants bo,Mumbai Indians bo,Punjab Kings bo,Rajastan Royals bo,Royal Challengers Banglore bo,Sunrisers Hyderabad bo,Chennai Super Kings ar,Delhi Capitals ar,Gujrat Titans ar,Kolkata Knight Riders ar,Lucknow Super Giants ar,Mumbai Indians ar,Punjab Kings ar,Rajastan Royals ar,Royal Challengers Banglore ar,Sunrisers Hyderabad ar,Chennai Super Kings wk,Delhi Capitals wk,Gujrat Titans wk,Kolkata Knight Riders wk,Lucknow Super Giants wk,Mumbai Indians wk,Punjab Kings wk,Rajastan Royals wk,Royal Challengers Banglore wk,Sunrisers Hyderabad wk,Chennai Super Kings os,Delhi Capitals os,Gujrat Titans os,Kolkata Knight Riders os,Lucknow Super Giants os,Mumbai Indians os,Punjab Kings os,Rajastan Royals os,Royal Challengers Banglore os,Sunrisers Hyderabad os,runs_per_match,matches_bat,strike_rate_bat,average_bat,wickets_per_match,matches_bowl,economy_rate,strike_rate_bowl,average_bowl,bat_powerplay,bat_death,bowl_powerplay,bowl_death,fair
Jason Holder,Lucknow Super Giants,8.75,242,ar,1,1,1,1,0,1.5,41.6,41.25,40.75,20.5,48.449999999999996,48.0,54.5,32.75,50.0,68.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,13.75,44,135.04464285714286,17.285714285714285,0.9807692307692307,52,7.908847184986596,28.92156862745098,21.941176470588236,111.25739024390244,189.44166265060238,14.438514429476923,12.95788677902788,6.912333333333334
Shakib Al Hasan,Unsold,0.0,94,ar,1,1,1,1,0,2.0,41.6,41.25,40.75,20.5,39.699999999999996,48.0,54.5,32.75,50.0,68.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,18.81159420289855,69,123.26685660018994,21.633333333333333,1.1866666666666668,75,7.202988792029887,21.662921348314608,18.04494382022472,225.39346939921393,195.46233333333333,11.662202443427516,13.322070242697944,4.828571428571426
Harshal Patel,Royal Challengers Bangalore,10.75,127,ar,0,1,1,1,0,2.0,41.6,41.25,40.75,20.5,39.699999999999996,48.0,54.5,32.75,50.0,68.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,26.130434782608695,23,160.6951871657754,28.61904761904762,1.2758620689655173,29,8.088669950738916,22.18918918918919,16.45945945945946,93.34588888888891,78.55957142857145,18.734693877551017,13.568474444010924,9.8215
Deepak Hooda,Lucknow Super Giants,5.75,87,ar,0,1,1,1,0,0.75,41.6,41.25,40.75,20.5,39.699999999999996,48.0,54.5,32.75,39.25,68.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,19.162790697674417,43,131.41945773524722,25.75,0.2631578947368421,19,7.9,63.2,48.0,40.019666666666666,137.27984375,0.0,0.0,4.26
Wanindu Hasaranga,Royal Challengers Bangalore,10.75,550,ar,1,1,1,1,0,1.0,41.6,41.25,40.75,20.5,33.949999999999996,48.0,54.5,32.75,39.25,68.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,12.92,25,127.66798418972331,17.0,1.3703703703703705,27,6.766423357664233,16.7027027027027,14.81081081081081,0.0,162.79595424836603,10.956521739130435,8.286563893888411,7.479833333333334
Washington Sundar,Sunrisers Hyderabad,8.75,25,ar,0,1,1,1,0,1.5,41.6,41.25,40.75,20.5,33.949999999999996,48.0,54.5,32.75,28.5,68.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,16.791666666666668,48,124.19106317411402,23.02857142857143,0.7246376811594203,69,6.742358078602621,30.88,27.48,96.96800000000002,137.33512244897958,15.119179791331394,10.354476165870043,6.747499999999999
Krunal Pandya,Lucknow Super Giants,8.25,143,ar,0,1,1,1,0,2.0,41.6,41.25,40.75,20.5,33.949999999999996,48.0,54.5,32.75,28.5,59.25,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,13.703125,64,128.7812041116006,19.488888888888887,0.7125,80,7.641655886157827,34.54385964912281,27.12280701754386,18.818,234.47342592592594,14.340255965496226,12.119625967325883,7.705
Mitchell Marsh,Delhi Capitals,6.5,229,ar,1,1,1,1,0,2.0,41.6,41.25,40.75,20.5,25.699999999999996,48.0,54.5,32.75,28.5,59.25,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,4.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,22.073170731707318,41,134.07407407407408,30.166666666666668,0.5,22,8.943396226415093,35.90909090909091,24.09090909090909,101.98686407766992,266.6830291262136,17.047812817904376,12.08135593220339,6.8305
Mohammad Nabi,Kolkata Knight Riders,1.0,75,ar,1,1,1,1,0,1.0,41.6,34.75,40.75,20.5,25.699999999999996,48.0,54.5,32.75,28.5,59.25,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,5.0,4.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,19.42718446601942,103,136.96098562628336,24.10843373493976,0.7913043478260869,115,6.9688929551692596,27.9010989010989,24.021978021978022,138.24142105263155,455.8076989247312,12.847058823529412,11.623766866991721,4.181374999999999
Matthew Wade,Gujarat Titans,2.4,390,wk,1,1,1,0,1,2.0,41.6,34.75,40.75,19.5,25.699999999999996,48.0,54.5,32.75,28.5,59.25,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,6.0,4.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,1.0,33.79545454545455,44,152.9835390946502,37.175,0.0,0,0.0,0.0,0.0,462.33133915857604,117.29508988764046,0.0,0.0,4.062499999999995
